benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,2,0.200000,1,40,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,41,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,42,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,43,16,1600,FulcrumInner,encoder,640.000000,640.000000,Mbs,
binary,2,0.200000,1,44,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,45,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,46,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,47,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,48,16,1600,FulcrumInner,encoder,640.000000,640.000000,Mbs,
binary,2,0.200000,1,49,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,50,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,51,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,52,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,53,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,54,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,55,16,1600,FulcrumInner,encoder,800.000000,800.000000,Mbs,
binary,2,0.200000,1,56,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,57,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,58,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,59,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,60,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,61,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,62,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,63,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,64,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,65,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,66,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,67,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,68,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,69,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,70,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,71,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,72,16,1600,FulcrumInner,encoder,673.684211,673.684211,Mbs,
binary,2,0.200000,1,73,16,1600,FulcrumInner,encoder,624.390244,624.390244,Mbs,
binary,2,0.200000,1,74,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,75,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,76,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,77,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,78,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,79,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,80,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,81,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,82,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,83,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,84,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,85,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,86,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
